Restaurant Name,Original food Item
Roy Rogers Restaurants,"Vanilla Shake, Large"
Charley's Philly Steaks,Spicy Molasses BBQ Boneless Chicken
Pretzelmaker,Caramel Sauce
Garden Fresh Gourmet,"Salsa, Jack's Santa Fe Style Black Bean & Corn"
Happy Joe's,"Bacon Pieces Pan Crust Pizza, 6 inch"
Green Beans Coffee,"Cappuccino, 12 oz"
Our Family,Chicken Gravy
Ameci Pizza & Pasta,Large Garlic Chicken Alfredo Pizza
Tom and Chee,Rold Gold Tiny Twists Pretzels
East Side Mario's,"Cherry Peppers, Large Pizza Topping"
Roti,Roti Vinaigrette
White Spot Restaurants,Hot Chargrilled Chicken Caesar Wrap
Baskin Robbins,"Pralines 'N Cream Ice Cream, 4 oz Scoop"
Dare,"Bear Paws Soft Cookies, Chocolate Chip"
Happy Joe's,"Matador Original Crust Pizza, 6 inch"
Russo's New York Pizzeria,"Pesto Chicken Pizza 16 inch, Slice"
Purebread Deli,Jelly
241 Pizza,"Chicken Club Pizza, Medium Slice"
Happy Joe's,"Cheese Pan Crust Pizza, 12 inch"
Nick-N-Willy's Pizza,"Cheese Pizza, Large"
De Dutch Pannekoek House,Stroop
Charley's Philly Steaks,"Texas Toast, 1 Piece"
A&W (Canada),"Lemonade, 20 oz"
Coffee Culture,"Tomato Roasted Red Pepper Bisque, Side"
Tai Pei,Chicken Egg Rolls
Sadaf,Stuffed Vine Leaves
Duke's,"Beef Steak Strips, Sea Salt"
Planet Wings,Cheese Quesadilla
Pinkberry,"Tiramisu Low-Fat Milk Iced Cream, Take Home"
TacoTime,"Chimi Platter, Seasoned Beef"
Drew's,"Organic Salsa, Thick & Chunky, Medium"
Yoshinoya,Tropicana Pink Lemonade
Pampa,"Sardines, in Brine"
Taco Bell Canada,Nachos Supreme
Tyson,"Chicken Breast Strips, Lightly Breaded"
Nick-N-Willy's Pizza,"Pepperoni-N-Sausage Pizza, Medium"
De Dutch Pannekoek House,"Honey, Mustard, Mayo"
Frullati Cafe & Bakery,"Bistro Ham & Cheese Sandwich, Croissant"
La Boulange,"Hamburger Buns, Brioche"
Back Yard Burgers,Backyard Salad with Chicken Tenderloins
Perkins Restaurant And Bakery,"Diet Coke, Large"
YoCream,Coffee
Pepperjax Grill,Side Salad without Dressing
KA-ME,Rice Sticks
Purebread Deli,"Chai Latte, Small"
Sadaf,Tomato & Basil Couscous
Henry & Lisa's Natural Seafood,Wild Sardines
Horizon,Classic Mac & Cheese
Tasti D-Lite,"Pomegranate - Vanilla Soft Serve, 10 oz (Gallon Recipe)"
Ninety Nine Restaurants,99 Honey Butter Biscuits
Roy Rogers Restaurants,"Cole Slaw, Large"
Charley's Philly Steaks,"Iced Tea, Sweetened, Large"
Roy Rogers Restaurants,"Coffee, 12 oz"
East Side Mario's,Kids Build Your Own - Pasta Alfredo
East Side Mario's,"Spinach, Large Pizza Topping"
Nature's Fairy,Grape
Purebread Deli,House Vinaigrette
Emerils,"Pasta Sauce, Tomato & Basil"
Yoshinoya,Grilled Tilapia with Rice & Vegetables
Dell' Alpe,"Artichoke Hearts, Quartered & Marinated"
Jack Astor's Bar & Grill,Bacon Cheeseburger
Earls,Clam Chowder
Planet Smoothie,"Planet Pro Lite Strawberry & Acai Smoothie, 22 oz"
Our Family,"Cereal, Crispy Rice"
Wayback Burgers,Kids Chicken Tenders
The Habit Burger Grill,"Santa Barbara Cobb, with Dressing"
Roti,Chocolate Chip Cookie
Bruster's Real Ice Cream,"Pumpkin Pie Ripple Ice Cream on a Sugar Cone, Large"
Charley's Philly Steaks,"Iced Tea, Unsweetened, Large"
Yogli Mogli,Pomegranate Raspberry Tart
Duchess Shoppe,32 oz Coca Cola
Planet Smoothie,"Planet Pro Lite Strawberry & Acai Smoothie, 32 oz"
Weight Watchers,"Ice Cream Sandwiches, Vanilla"
Emeril's,Kicked Up Tomato Sauce
Lifeway,"Kefir Cultured Lowfat Milk Smoothie, Plain Unsweetened"
Triple O's,"Sweet Potato Fries, Regular"
Drew's,"Organic Dressing & Quick Marinade, Goddess"
Good Times Burgers & Frozen Custard,"Caramel Toffee Spoonbender, Large"
Jack Astor's Bar & Grill,Chicken Parmigiana Sandwich
Planet Smoothie,"Chocolate Chimp Smoothie, 44 oz"
Moxie's Classic Grill,Asiago Crisps
Frullati Cafe & Bakery,Tomato
Fresh Gourmet,Organic Caesar Croutons
Dundy's,"Chewy Granola Bars, Peanut Butter Chocolate Chip"
Pampa,Mackerel Fillets
Ninety Nine Restaurants,99 Kids Butternut Squash
The Hungry Hobo,Supreme Nachos
Mike's Restaurants,International 6-Inch Traditional Pizza
Perkins Restaurant And Bakery,Sweet Sticky Bun
Sal & Judy's,"Sauce, All Natural Heart Smart Chunky"
Chick-fil-A,"Chicken, Egg & Cheese Bagel"
Emeril's,"Crawfish Etouffee, Creole Creation"
Fanny's,"Italian Dressing, Original"
Cereality,Honey Nut Cheerios
Just FreshDirect,"Greek Yogurt, Nonfat, Plain"
Cereality,"Devil Made Me Do It, 2%, Regular"
Manny's,"Flour Tortillas, Fajita Style"
Coffee Time,White Coconut Cake Donut
Tasti D-Lite,"Triple Berry - Vanilla Soft Serve, 3 oz (Custom Blend)"
Planet Wings,Bourbon BBQ Sauce
Wedderspoon,Tart Cherry with Sunflower Seedbutter Manuka Honey
Protein House,Vegan Bowl with Quinoa
Krispy Kreme,"Iced Vanilla Latte with 2% Milk, 20 fl oz"
Planet Wings,"Nachos Grande, Beef"
Dare,"Vinta Crackers, 8 Grains & Seeds"
Cold Stone Creamery,"Berry Tart Yogurt, Love It"
Cafe Zupas,"Salad Toppings, Eggs"
Roti,"Pita Bread, Sandwich"
Horizon,"String Cheese, Mozzarella"
Firehouse Subs,Spicy Cajun Chicken - Small
Wayback Burgers,Strawberry Milkshake
Natural Sea,"Tongol Tuna, Chunk Light"
Northern Chef,Wild Baja Shrimp
Ninety Nine Restaurants,"99 Rice Pilaf, Side"
Thundercloud Subs,"Genoa Salami Sub, Small"
Dukes,"Beef Brisket Strips, Chipotle BBQ"
America's Taco Shop,"Ranchero Burrito, Regular"
World of Beer,Grilled Cheese Sandwich with Tater Tots
Quaker Steak & Lube,Skinny Dragon Berry Lime-N-Ade
Baton Rouge Steakhouse & Bar,Minestrone Soup
Cafe Yumm!,"Yumm Sauce, Original"
Coffee Time,Coffee Syrup
Tom and Chee,S'More Grilled Cheese Donut
Thundercloud Subs,"Smoked Chicken Low-Fat Sub, Small"
TacoTime,Soft Pinto Bean Burrito
East Side Mario's,"Pineapple, Lunch Pizza Topping"
The Habit Burger Grill,Chocolate Malted Shake with Whipped Cream
Back Yard Burgers,"Unsweet Tea, Large, 32 oz."
Concord Foods,Authentic Guacamole Mix
Moxie's Classic Grill,Salted Caramel & Pecan Cheesecake
Tropical Smoothie Cafe,"Minute Maid Lemonade, 24 fl oz fountain"
Buddy's Bar-b-q,Big Hawg With Pork
Duchess Shoppe,20 oz Mountain Dew Code Red
Port of Subs,Turkey Bacon Ranch - Wrap
Gandy's,"Milk, Vitamin D"
Earls,Vegan Bibimbap Bowl
The Hungry Hobo,Baja Chicken Enchilada Soup
Furr's Family Dining,Artificially Sweetened Chocolate Pudding
Duke's,Roasted Cayenne Beef Jerky
Tropical Smoothie Cafe,Almonds
Pinkberry,Lemon Cookie Crunch Topping
Thundercloud Subs,"Ham Sub, Small"
Charley's Philly Steaks,Garlic Parm Boneless Chicken
Tyson,Fully Cooked Chicken Breast Fillets
Portillo's,Slice of American Cheese
Lion's Choice,Veggie Dip
Thundercloud Subs,"Turkey Sub, Small"
Frullati Cafe & Bakery,"Peanut Butter Banana Smoothie, Medium"
America's Taco Shop,"Al Pastor Quesadilla, Large"
Our Family,Peas & Carrots
Back Yard Burgers,"Mug Root Beer, Large, 32 oz."
Martel,Tuna Flakes
Concord Foods,Apple Crisp
Coffee Culture,Superfruit Smoothie
Chickpea,Whole Wheat Wrap
Concord Foods,"Mashed Potato Seasoning Mix, Roasted Garlic & Herb"
Perkins Restaurant And Bakery,"Build Your Own Omelet, Shredded Cheddar Cheese"
Yoshinoya,Grilled Steak Bowl - Large
Pepperjax Grill,Sour Cream
Wg Grinders,Spicy Chicken Grinder
Furr's Family Dining,Pepperoni or Cheese Pizza
The Habit Burger Grill,Bacon
Weight Watchers,"Cheese, Natural Reduced Fat Swiss 13 Slices"
Texas Roadhouse,"Peanuts, Salted"
Port of Subs,Classic Sub #8 - Flatbread
East Side Mario's,Add On: Goat Cheese
Norman's,Greek Nonfat Yogurt Mango
Kitchens Seafood,Stuffed Shrimp
Northern Chef,Boom Boom Shrimp
World of Beer,WOBSTAR Breakfast with Bacon
Back Yard Burgers,Cherry Cobbler
KA-ME,"Sauce, Korean Barbecue"
Ameci Pizza & Pasta,Rigatoni With Meatballs
Coffee Culture,"Hazelnut Latte, Small"
Planet Smoothie,"Big Bang Smoothie, 16 oz"
Golden Spoon Frozen Yogurt,Old Fashioned Vanilla Frozen Yogurt
Merzi,Warm Hot Sauce
Port of Subs,Meatball Marinara - Wrap
Lion's Choice,"Original Turkey Breast Sandwich, No Butter"
Port of Subs,Classic Sub #2 - 8 inch Medium
Dare,"Crackers, Garden Vegetable"
Campa,Sour Cherry Nectar
Rachael Ray Stock-in-a-box,Veggie Stock
Cereality,Brown Sugar
Tubby's,Chicken Club (Small)
Krispy Kreme,"Iced Hazelnut Coffee, 20 fl oz"
Mauna Loa,"Macadamias, Dry Roasted, with Sea Salt"
Our Family,"Cereal, Bran Flakes, High Fiber"
Tyson,"Any'tizers Bruschetta, Chicken & Spinach"
Magic Wok,"Pad Thai, Tofu"
Yogli Mogli,Pecan Praline
Sobeys,Seven Grain Salad
Koyo,"Ramen Noodles, Tofu Miso, Reduced Sodium"
Betty Crocker,"Cookie Bar, Triple Chip"
Coffee Time,Banana Filled Yeast Donut
Planet Wings,BBQ Teriyaki Sauce
Drew's,"Organic Dressing & Quick Marinade, Classic Caesar"
Emeril's,"Pasta Sauce, Chunky Marinara"
Good Times Burgers & Frozen Custard,Breakfast Sandwich with Bacon & Cheddar
Nalley Fresh,Harvest Salad
Marie Callender’s,Chicken Pot Pie
Wienerschnitzel,Hash Brown Po'Taters
Tim Horton's,"Oreo Iced Cappuccino (with Cream), Medium"
World of Beer,Avocado Toast with Bacon
Mike's Restaurants,"Orange Juice, Large"
Purebread Deli,Pickles
Just Fresh,Western Omelet
Tim Horton's,"Bagged Tea, Medium"
Green Beans Coffee,"Protein Burst Smoothie, 24 oz"
El Rio,Mango Flavored Candy with Chili
Yogli Mogli,Red Velvet
Sadaf,Barley Pearl
Mike's Restaurants,All-Dressed Pizza & Caesar Salad
Golden Spoon Frozen Yogurt,Strawberry Cheesecake Frozen Yogurt
Protein House,Thai Monster Bowl with Half Brown Rice and Half Quinoa
Christine,"Wafers, Honey Maid"
TacoTime,"Big Juan Burrito, Seasoned Beef"
Coffee Culture,Peanut Butter Cup With Reese's Pieces
Northern Chef,Premium Seafood Mix
Lion's Choice,White Cheddar Mac N' Cheese
Port of Subs,Classic Sub #12 - Flatbread
Yogli Mogli,Blueberry Acai Tart
Protein House,BBQ Turkey Burger
Happy Joe's,"Hawaiian Pan Crust Pizza, 12 inch"
Jamba,"Orange C-Booster Smoothie, 28 fl. oz."
Pepperjax Grill,"French Fries, Small"
Wayback Burgers,Onion Rings
Koya,"Aloe Drink, Blueberry"
Coffee Culture,Chocolate Avalanche
Krispy Kreme,Cinnamon Apple Filled Doughnut
Frullati Cafe & Bakery,"Watermelon Strawberry Chiller, Large"
Baton Rouge Steakhouse & Bar,Southern Style Apple Cobbler
Sail,"White Shrimp, Cooked"
White Spot Restaurants,"Nat's Hearty Breakfast, Add Sausage"
Sea Choice,"Salmon Burgers, Wild Alaskan"
Lebby's,Extra Toppings Chicken Alfredo Pizza
Tom's,"Potato Chips, Sour Cream & Onion"
Uncle Ben's,"Long Grain & Wild Rice, Original"
Shaner's,Raw Stuffed Chicken Breast
High Liner,Wild Pacific Salmon Fillets
Roti,Vegetables
Christie's,"Rice Thins Crackers, Cheddar Flavor"
Coffee Time,Cinnamon Buns Donut
Uncle Ben's,"Fast & Fancy Vite & Bon, Chicken Flavor & Wild"
Silver Mine Subs,Prospector Wrap
Christie's,"Bloody Mary Mix, Bold & Spicy"
Burrito Boyz,"Small White Burrito, Sweet Potato"
Jayone,"Premium Seaweed Winter Harvest, Seasoned and Roasted"
Tony Roma's,Premium Pork Back Ribs In Kansas City Style Sweet Hickory BBQ Sauce
Chickpea,Portabella Mushrooms
YoCream,Original Tart Pomegranate Raspberry
Wasa,Multi Grain Crispbread
Dare,Chocolate Chip Bear Paws
Protein House,Salmon Burger
TacoTime,Minute Maid Orange Juice - 10 oz
Furr's Family Dining,Pan-Grilled Pork Chops
American Flatbread Grocery,"Thin & Crispy Pizza, Pesto & Cheese"
Back Yard Burgers,"Unsweet Tea, Regular, 20 oz."
Merzi,Tomato Cucumber
Wayback Burgers,Tomatoes
Vocelli Pizza,Medium Chicken Carbonara Pizza Slice
Magic Wok,Steamed Broccoli (3 oz)
America's Taco Shop,"Ranchero Burrito, Large"
Tyson,Grilled & Ready Fajita Chicken Breast Strips
Kirkwood,"Chicken Breast Portions, Roasted Pepper & Lime Seasoned"
Jayone,"Fruit Juice, Apple"
Pampa,Fruity Wheels
Lifeway,"Kefir Cultured Milk Smoothie, Nonfat, Strawberry-Banana"
Cereality,"Strawberry French Toast, Skim, Regular"
Tim Horton's,"Chili, Regular"
Wienerschnitzel,"Chili Cheese Fries, Regular"
The Habit Burger Grill,Strawberry Sundae
White Spot Restaurants,Side of Scrambled Eggs
Yellow Tail,Moscato
Grandma Emily,"Organic Granola, Berry Almond"
A&W (Canada),Gravy
Baskin Robbins,"Wild Mango Fruit Blast, Large"
Baskin Robbins,"Cherry Cordial With Kisses Ice Cream, 4 oz Scoop"
A&W (Canada),"Spicy Habanero Chicken Burger, Lettuce-Wrapped"
Duke's,"Shorty Sausage, Hickory Peach BBQ Flavor"
Tabatchnick,Barley and Mushroom Soup
Moxie's Classic Grill,Prawn Butter & Potato Hash
Moxie's Classic Grill,Sweet Chili Chicken
Concord Foods,Fresh Cranberry Bread Mix
Firehouse Subs,Chili
Burrito Boyz,"Small Gluten Free Burrito, Ground Soy"
Yoshinoya,Asian BBQ Wings - 6 piece
Kitchens Seafood,Breaded Shrimp
Portillo's,Tuna Salad Croissant
The Habit Burger Grill,American Cheese
Protein House,Power Wrap
Mike's Restaurants,Kids Caesar Salad
Our Family,"Fancy Shredded Cheese, Mexican Blend"
Roy Rogers Restaurants,"Chicken, 16 Piece & Biscuits"
Hokan,Pre-Cut Baby Corn
Whitey's Ice Cream Grocery,"Ice Cream, Harvest Chipper"
Cafe Zupas,"Poppyseed Dressing, Large"
Tai Pei,Battered Green Beans
Cold Stone Creamery,"Pistachio Ice Cream, Gotta Have It"
Tasti D-Lite,"Devil's Food Cake - Chocolate Soft Serve, 3 oz (Gallon Recipe)"
Frullati Cafe & Bakery,Brewers Yeast
Portillo's,Flounder
Protein House,Chicken Caesar Wrap
Vocelli Pizza,Large Thin Crust Hawaiian Pizza Slice
Wienerschnitzel,"Shake, Chocolate with Oreo Cookie"
White Spot Restaurants,Spinach & Artichoke Dip with Fire Roasted Tomato Sauce
Frullati Cafe & Bakery,"Tuna Pecan Salad Sandwich, Wheat Roll"
Jamba,"Turkey Sausage, Roasted Red Pepper + Gouda Sandwich"
Kaizen,"Vegan Protein, Natural Vanilla Bean"
America's Taco Shop,"Al Pastor Burrito, Large"
Cold Stone Creamery,Bananas
KA-ME,"Stir-Fry Noodles, Soba"
Tom's,Bacon Cheddar Fries
Tasti D-Lite,"Peanut Butter Batter - Chocolate Soft Serve, 10 oz (Custom Blend)"
Port of Subs,Classic Sub #3 - Lettuce Wrap
Chick-fil-A,"Chocolate Milkshake, Small"
Chick-fil-A,"Kid's Nuggets Meal, 6 Count"
Thundercloud Subs,"Smoked Chicken Sub, Large"
Vocelli Pizza,Pasta Diablo with Penne - Party
Yogli Mogli,Snickerdoodle
Tom and Chee,Banana
Blimpie,"Lipton Brewed Iced Tea Unsweetened, 28 oz"
Ameci Pizza & Pasta,Sausage And Peppers Submarine
Tender Bison,Bison Burgers
Furr's Family Dining,Michigan Apple Pie
Drews,"Organic Salsa, Thick & Chunky, Mild"
Silver Mine Subs,Romaine Lettuce for Entree Salads
Planet Smoothie,"Planet Pro Veg (32G) Cocoa & Banana Smoothie, 32 oz"
TacoTime,Avocado Ranch
Tender Bison,"Hot Polish Sausage, Bison Beef"
Moxie's Classic Grill,Red Thai Curry Bowl
Wienerschnitzel,"Brisk Strawberry Melon, 40 oz (without ice)"
Pinkberry,"Orange Tang Yogurt, Small"
Garden Fresh Gourmet,Jack's Cantina Style Salsa
Quaker Steak & Lube,"Grilled Boneless Wings, 12 (4 servings) with Wing Sauce Choice Cajun"
Henry & Lisa's Natural Seafood,"Wild Sardines, in Spring Water"
Cafe Zupas,"Salad Toppings, Tricolor Peppers"
Happy Joe's,"Combo Plus Original Crust Pizza, 12 inch"
Money's,Sliced Mushrooms
Coffee Time,Hot Chocolate
Cafe Zupas,"Salad Toppings, Kalamata Olives"
Yogli Mogli,Cake Batter
Chick-fil-A,"Freshly-Brewed Iced Tea Sweetened, Small"
Quaker Steak & Lube,"Grilled Boneless Wings, 12 (1 serving) with Wing Sauce Choice Louisiana Lickers"
Pampa,Nacho Sliced Jalapeno Peppers
Pretzelmaker,Ketchup
The Pickle Barrel,Maple Nut Salmon
Planet Wings,Teriyaki Sauce
Green Beans Coffee,"Americano, 12 oz"
Tim Horton's,"Brewed Iced Tea, Unsweetened, Small"
Baskin Robbins,"Chocolate Chip Cookie Dough Milkshake, Medium"
Tender Bison,"Bratwurst, Bison and Beef"
Harris Teeter,Baby Carrots
Horizon,"Milk, Lowfat, Vanilla"
Tabatchnick,"Split Pea Soup, Low Sodium"
Bruster's Real Ice Cream,"Jamaican Me Crazy Ice Cream on a Waffle Cone, Small"
Protein House,"Caramel Macchiato Coffee, 24 oz with Milk Choice Whole Milk"
DiGiorno,"Rising Crust Pizza, Pepperoni"
World of Beer,"WOB Chicken Wings, 20 with Hot Sauce Honey BBQ Sauce"
Jamba,"Strawberries Wild Smoothie, 28 fl. oz."
Bruster's Real Ice Cream,"Blueberry Cobbler Ice Cream in a Dish, Regular"
Jamba,"Mango-A-Go-Go Smoothie, 16 fl. oz."
TacoTime,Cilantro
Del Monte,Sliced Pineapple In Juice
Tasti D-Lite,"Honey Nut O's - Vanilla Soft Serve, 1 oz (Gallon Recipe)"
Weight Watchers,"Muffin, Blueberry"
Uncle Ben's,Country Inn Chicken & Vegetable Rice
Pinkberry,Carob Chips Topping
Krispy Kreme,"Iced Skinny Caramel Latte with 2% Milk, 16 fl oz"
YoCream,Berry Acai
YoCream,Lite Chocolate Ice Cream
The Habit Burger Grill,"Garden Salad, No Dressing"
Duke's,"Beef Steak Strips, Honey Bourbon"
Wayback Burgers,Chicken BLT
Duchess Shoppe,Hash Brown Stick
Coffee Time,Creamy Garden Broccoli Soup
Back Yard Burgers,"Tropicana Twister, Fruit Punch, Kids, 12 oz."
Port of Subs,Classic Sub #4 - 12 inch Large
YoCream,Pecan Praline
Moe's Southwest Grill,Carnitas Seasoned Shredded Pork
Moxie's Classic Grill,Potstickers
Blimpie,"Crush Strawberry Soda, 21 oz"
TacoTime,"Limeade, Strawberry Mango - 21 oz"
Duchess Shoppe,Sour Cream Cake Donut
Ninety Nine Restaurants,"99 Broccoli Florets, Side"
Duchess Shoppe,44 oz Crush Orange Soda
Christines,Creamy Italian Dressing
Boneheads,Hot Skinless Piri
Just FreshDirect,Sliced Almonds
Blimpie,"Diet Caleb's Kola, 21 oz"
Duke's,Smoked Shorty Sausages
Coffee Culture,Asiago Breakfast Bagel
Harris Teeter,"Raisins, Seedless"
241 Pizza,"Chorizo Supreme Pizza, Small Slice"
Russo's New York Pizzeria,"Balsamic Glaze Topping, Party"
Christie's,French Onion
Merzi,Green Chili Chutney (Medium)
Koyo,"Miso, Shiro"
Silver Mine Subs,Meatballs for Large Sub
Chick-fil-A,Spicy Deluxe Sandwich with Colby Jack
Taco Bueno,#1 The Muchaco Beef Combo with Low Cal Drink
Back Yard Burgers,Back Yard Chili
Merzi,Lettuce (Salad)
Bruster's Real Ice Cream,"Maple Walnut Ice Cream in a Dish, Small"
Taco Bueno,Mug Root Beer 40oz
Tom and Chee,Barq's Root Beer
Lion's Choice,Gluten-Free Caesar Dressing
Cook's,Whole Milk
Cereality,Coconut
YoCream,Blueberry
Papa Murphy's,Garden Veggie - Medium Slice
Taco Bueno,Beef Taco Rollup Kids Meal Apple Sauce
World of Beer,"Mahi Tacos, 3 Piece"
Tabatchnick,Cream of Mushroom Soup
Baton Rouge Steakhouse & Bar,Louisiana BBQ Chicken
Baskin Robbins,"U.S.S. Butterscotch Ice Cream, 4 oz Scoop"
Ninety Nine Restaurants,99 Boneless Gold Fever Wings Crowd Pleazer
Tubby's,Philly Cheesesteak (Large)
Horizon,"Organic Cheddar Cheese, Raisins, Cashews & Sweetened Cranberries"
Delmonico's Restaurant,Balsamic Vinaigrette
Blimpie,"Gold Peak Sweetened Black Tea, 21 oz"
Danny's,Super Sweet Corn
Magic Wok,Szechuan Spicy Chicken
Dare,"Veggie Crisps Legume, Salt and Vinegar"
Angy's,Tri Color Cheese Tortellini
Dell ' Alpe,Romano Cheese
Duck Donuts,"Bagel, Everything Bagel With Cream Cheese"
Vocelli Pizza,Vocelli Rolls - Pepperoni
Earl's,Popcorn
Ninety Nine Restaurants,"99 Mandarin Oranges, Kids"
Bimbo,"Panque, Chocolate"
Wienerschnitzel,"Mini Corn Dogs, 12 Pack"
Tim Horton's,Double Strawberry Donut
Perkins Restaurant And Bakery,Classic Pot Roast Dinner
Triple O's,Sausage Sandwich on Ciabatta
KA-ME,Pad Thai Express Rice Noodles
Chick-fil-A,Grilled Chicken Club with Colby Jack
Port of Subs,Classic Sub #11 - 24 inch X-Large
Fratelli Mantova,"Pasta, Italian, Organic"
Christie's,Ranch Crispers Baked Snacks
Wild Oats Marketplace,Tomato Basil Soup
Tasti D-Lite,"Vanilla Malt - Vanilla Soft Serve, 5 oz (Custom Blend)"
Lion's Choice,Side Salad
Merzi,Grilled Chicken
Boneheads,Grilled Mahi-Mahi
Quaker Steak & Lube,Jolly Rancher Shake
Bruster's Real Ice Cream,"Peanut Butter Ice Cream on a Cake Cone, Regular"
Charley's Philly Steaks,"Jalapenos, Regular Cheesesteak Topping"
Dell' Alpe,Marinara Sauce
Bruster's Real Ice Cream,"Winter Wonder on a Sugar Cone, Small"
Henry & Lisa's,Wild Alaskan Pink Salmon
Crazy Bowls & Wraps,Teriyaki Bowl - Regular
Happy Joe's,"Chicken Original Crust Pizza, 12 inch"
Papa Murphy's,Fiesta Chicken - Family Slice
Tom and Chee,Blueberry Compote
Taco Bueno,Large Guac Only
Earls,"Italia Pizza, Gluten Free"
Cold Stone Creamery,"Strawberry Mango Smoothie, 20 oz"
Blimpie,"Sunkist Cherry Limeade Soda, 12 oz"
Planet Wings,Peanut Butter Cup Cookie
Tasti D-Lite,"Vanilla Malt - Vanilla Soft Serve, 10 oz (Gallon Recipe)"
Merzi,Red Chili Chutney (Hot)
TacoTime,Seasoned Beef Crisp Taco
Port of Subs,Classic Sub #11 - Lettuce Wrap
Mancini,"Roasted Peppers, Sweet"
Earls,Vegan Beyond Burger
La Boulange,Baker's Vanilla Biscotti with Almonds
Moxie's Classic Grill,Wild Rice Pilaf
Mimi's Cafe,"Corn Chowder, Bowl"
Cold Stone Creamery,"Vanilla Bean Ice Cream, Like It"
Rachael Ray,Stock-in-a-Box Low Sodium Chicken stock
Chickpea,Bulgar
Maninis,Lasagna Sheets
Moxie's Classic Grill,Grilled Cheese Sandwich
High Liner,"Pan-Sear Selects Haddock, Roasted Garlic & Herbs"
Planet Wings,Southwestern Ranch Salad with Crispy Chicken
KA-ME,"Rice Crackers, Original"
Smoothie King,Nature's Blend
Yogli Mogli,Angel Food Cake
KA-ME,"Hokkien Noodles, Honey Soy Ginger"
White Mountain,"Yogurt, Bulgarian, Non-Fat"
Bruster's Real Ice Cream,"Banana Ice Cream in a Dish, Large"
Sadaf,Mascarpone
Buddy's Bar-b-q,Big Hawg With Beef
Nick-N-Willy's Pizza,Aegean Calzone
Port of Subs,Classic Sub #8 - 8 inch Medium
Planet Smoothie,"Planet Pro Cocoa & Banana Smoothie, 44 oz"
Charley's Philly Steaks,Nashville Hot Boneless Chicken
Furr's Family Dining,Chicken-Fried Chicken Breast
A&W (Canada),"BLT Chicken Burger, Lettuce-Wrapped"
Planet Wings,"Crispy Chicken Hero with Lettuce, Tomato, Onion and No Sauce"
Marie Callender’s,Cinnamon Apple Muffin
Taco Bell Canada,Cheesy Gordita Crunch
Good Times Burgers & Frozen Custard,Classic Double Cheeseburger
Veggie Patch,Meatless Meatballs
Magic Wok,Mongolian Beef
White Mountain,"Yogurt, Bulgarian, Whole Milk"
Concord Foods,Blueberry Muffin Mix
Pretzelmaker,"Unsalted Pretzel Bites, Small"
Baskin Robbins,"Rocky Road Ice Cream, 4 oz Scoop"
Tyson,Roasted Red Bell Pepper & Garlic
Coffee Time,Raspberry Fruit Sticks
241 Pizza,"Chorizo Supreme Pizza, Large Slice"
Happy Joe's,"Tomato Original Crust Pizza, 6 inch"
Purebread Deli,Plain Bagel
White Mountain,Bulgarian Yogurt
Jack Astor's Bar & Grill,"Jack's Chicken Wings, 2 lb."
Yoshinoya,Teriyaki Skinless Chicken Bowl - Regular
Ninety Nine Restaurants,"99 Bar Cheese, with Crackers"
Chivers,Garlic BBQ Sauce
Roy Rogers Restaurants,"Chicken, 8 Piece & Biscuits"
Good Times Burgers & Frozen Custard,Wild Dippin' Sauce
Tropical Smoothie Cafe,Chicken Bacon Ranch Toasted Flatbread
Chickapea,"Vegan Mac, Dairy-Free"
Silver Mine Subs,Salami for Large Sub
White Spot Restaurants,Add Gravy
Jamba,Matcha Powder
Buddy's Bar-b-q,"Chocolate Milk Shake, Regular"
Koyo,"Organic Soba, Asian Pasta"
Veggie Patch,"Chik'n Bites, Buffalo"
Frullati Cafe & Bakery,"Apple Strawberry Chiller, Small"
Duck Donuts,Doughnut Sundae With Peanut Butter Cup Ice Cream
High Liner,Southern Style Cod
The Hungry Hobo,Mild Nachos
Kitchens Seafood,Lobster Bites
Buddy's Bar-b-q,Baked Potato Chips
Chick-fil-A,"Mango Passion Tea Lemonade, Small"
Our Family,"Dressing, Fat Free, Italian"
Boneheads,Oatmeal Raisin Cookies
World of Beer,Sweet Cream Pancakes
Magic Wok,Mongolian Shrimp
Planet Smoothie,"The Last Mango Smoothie, 16 oz"
Happy Joe's,"BLT Pan Crust Pizza, 6 inch"
Wienerschnitzel,"Dr Pepper, 30 oz (without ice)"
Weight Watchers,"Candies, English Toffee Squares"
Tyson,"Chicken, Trimmed & Ready Premium Thin Sliced Boneless Skinless Breast Strips"
Golden Spoon Frozen Yogurt,Strawberry Frozen Yogurt
HoSan,"Soba Noodle, Japanese Style Buckwhet Noodle"
Tom and Chee,Pibb Xtra
241 Pizza,"Pepperoni Pizza, Large Slice"
Tyson,"Chicken Breasts, Trimmed & Ready Premium Boneless Skinless"
Mancini,Sweet Roasted Peppers
Our Family,Mixed Vegetables
Ameci Pizza & Pasta,Large Vegetarian Pizza
Mauna Loa,"Maui Onion & Garlic, Macadamias"
America's Taco Shop,"Chicken Burrito, Large"
Tijuana Flats,"Taco Filling, Blackened Chicken (2 tacos)"
Perkins Restaurant And Bakery,Sutter Home White Wine Spritzer
East Side Mario's,"Provolone, Lunch Pizza Topping"
Coffee Culture,Herb & Garlic Cream Cheese
Wayback Burgers,Honey Mustard
